x,,id.exposure,id.outcome,nsnp,b_MR.Egger,se_MR.Egger,pval_MR.Egger,estimate_MR.Egger,b_Weighted.median,se_Weighted.median,pval_Weighted.median,estimate_Weighted.median,b_Inverse.variance.weighted.,se_Inverse.variance.weighted.,pval_Inverse.variance.weighted.,fdr_Inverse.variance.weighted.,estimate_Inverse.variance.weighted.,b_Weighted.mode,se_Weighted.mode,pval_Weighted.mode,estimate_Weighted.mode,b_Simple.mode,se_Simple.mode,pval_Simple.mode,estimate_Simple.mode,correct_causal_direction,steiger_pval,Value_Power,F,R2,Q_Inverse.variance.weighted,Q_df_Inverse.variance.weighted,Q_pval_Inverse.variance.weighted,egger_intercept,se,pval,outliers,global_test_p
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_CRB2.csv.csv.csv,CRB2,U8UYmj,CIxAKM,3,-0.111262919,0.172545738,0.635386713,0.89 (0.64-1.25),0.083273566,0.048919776,0.08870898,1.09 (0.99-1.20),0.091852461,0.041665304,0.027487012,0.309085029,1.10 (1.01-1.19),0.064511521,0.052797083,0.346223735,1.07 (0.96-1.18),0.093956869,0.069556819,0.309293674,1.10 (0.96-1.26),TRUE,4.07E-35,0.630750743,60.81661992,0.00622613,1.509226917,2,0.470192329,0.017725872,0.014612452,0.43889681,NA,NA
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_GZMM.csv.csv.csv,GZMM,KH0d8y,BufHoP,6,0.035437842,0.035590535,0.375746845,1.04 (0.97-1.11),0.042336101,0.025404462,0.095617272,1.04 (0.99-1.10),0.044615337,0.020255255,0.027619083,0.309085029,1.05 (1.00-1.09),0.04255307,0.026943719,0.175094791,1.04 (0.99-1.10),0.061949264,0.032128382,0.111750821,1.06 (1.00-1.13),TRUE,7.07E-131,0.778203756,109.3985182,0.037612153,2.421553748,5,0.788260079,0.001510815,0.004817572,0.7694941,NA,0.84
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_RAMP3.csv.csv.csv,RAMP3,1uR1jB,GMIKCY,4,-0.103549006,0.197664923,0.652639866,0.90 (0.61-1.33),-0.135617354,0.073912246,0.06652898,0.87 (0.76-1.01),-0.138420101,0.062979307,0.027958631,0.309085029,0.87 (0.77-0.99),-0.123373626,0.105344749,0.326099273,0.88 (0.72-1.09),-0.142022684,0.096719529,0.238308132,0.87 (0.72-1.05),TRUE,1.23E-22,0.768758248,28.3899766,0.003939959,0.427600804,3,0.934483611,-0.002154388,0.011575585,0.869522008,NA,0.943
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_RRAS2.csv.csv.csv,RRAS2,U8UYmj,CIxAKM,4,0.00872502,0.051181918,0.88032529,1.01 (0.91-1.12),0.027281345,0.016836055,0.105143823,1.03 (0.99-1.06),0.034397749,0.015653722,0.0279907,0.309085029,1.03 (1.00-1.07),0.021686002,0.017601049,0.305679213,1.02 (0.99-1.06),0.053227235,0.031818662,0.192954058,1.05 (0.99-1.12),TRUE,1.73E-81,0.532170319,102.6050127,0.035522044,6.055715193,3,0.1089308,0.006869782,0.011917125,0.622533548,NA,0.387
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_TUBD1.csv.csv.csv,TUBD1,riXEkb,8ceonw,3,0.268902004,0.17042569,0.359620601,1.31 (0.94-1.83),-0.181867936,0.067254424,0.006847359,0.83 (0.73-0.95),-0.104016357,0.047360384,0.028072374,0.309085029,0.90 (0.82-0.99),-0.191236746,0.092669178,0.175110717,0.83 (0.69-0.99),-0.188616954,0.096147555,0.188810383,0.83 (0.69-1.00),TRUE,4.90E-24,0.652918733,43.81417025,0.005291353,5.891343183,2,0.052566745,-0.029547591,0.012971529,0.263352188,NA,NA
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_C19orf10.csv.csv.csv,orf10,ihCnsY,bg4s1n,3,0.010895956,0.206888302,0.966502802,1.01 (0.67-1.52),0.097747593,0.050793407,0.054302589,1.10 (1.00-1.22),0.087696123,0.039956986,0.028180586,0.309085029,1.09 (1.01-1.18),0.123806814,0.07335492,0.23350844,1.13 (0.98-1.31),0.115308977,0.06607146,0.223064277,1.12 (0.99-1.28),TRUE,5.29E-40,0.812997406,66.28563776,0.010545312,2.258786921,2,0.323229248,0.011617408,0.030126015,0.765688996,NA,NA
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_SLC29A4.csv.csv.csv,A4,KH0d8y,BufHoP,4,0.017342647,0.194285259,0.937006296,1.02 (0.70-1.49),-0.032747982,0.04942563,0.507605437,0.97 (0.88-1.07),-0.091493346,0.041744102,0.028396332,0.309085029,0.91 (0.84-0.99),-0.035634139,0.052571305,0.546478956,0.96 (0.87-1.07),-0.046136097,0.077391695,0.593067789,0.95 (0.82-1.11),TRUE,1.57E-32,0.668817414,43.52537338,0.007079291,6.542810097,3,0.087989383,-0.008403629,0.014008581,0.609493089,NA,0.267
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_SIGMAR1.csv.csv.csv,SIGMAR1,U8UYmj,CIxAKM,4,0.03052769,0.023386727,0.32174384,1.03 (0.98-1.08),0.028489739,0.013907439,0.040508566,1.03 (1.00-1.06),0.028653359,0.013108188,0.028821972,0.309085029,1.03 (1.00-1.06),0.030371694,0.015225555,0.14003234,1.03 (1.00-1.06),0.03193203,0.019941346,0.207627266,1.03 (0.99-1.07),TRUE,0,0.690354874,591.4996095,0.074282816,0.369320804,3,0.946504568,-0.000904223,0.009343535,0.9317292,NA,0.931
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_DLK1.csv.csv.csv,DLK1,f2noEF,vsOWBs,3,0.214880429,0.355199952,0.653643301,1.24 (0.62-2.49),-0.067654201,0.043945892,0.123685053,0.93 (0.86-1.02),-0.077046957,0.035267206,0.028913572,0.309085029,0.93 (0.86-0.99),-0.042673027,0.078302453,0.640418282,0.96 (0.82-1.12),-0.020599926,0.077699159,0.815738899,0.98 (0.84-1.14),TRUE,3.09E-51,0.608447849,90.67611348,0.008662901,5.416493771,2,0.066653556,-0.029523533,0.03535295,0.557049676,NA,NA
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_IRF3.csv.csv.csv,IRF3,XvbY20,h2OlPW,4,-0.052677375,0.08698185,0.606343276,0.95 (0.80-1.13),-0.041471446,0.018394771,0.024163243,0.96 (0.93-0.99),-0.038159495,0.017478995,0.029023811,0.309085029,0.96 (0.93-1.00),-0.043056041,0.021217521,0.135439513,0.96 (0.92-1.00),-0.045165003,0.030317349,0.233060824,0.96 (0.90-1.01),TRUE,1.22E-273,0.740912705,368.2441635,0.047693068,2.887459186,3,0.409304191,0.004029069,0.023435936,0.879323737,NA,0.577
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_SLC1A7.csv.csv.csv,A7,KH0d8y,BufHoP,5,0.032095723,0.089617452,0.743955036,1.03 (0.87-1.23),0.062388886,0.031976239,0.05104498,1.06 (1.00-1.13),0.060459978,0.027770631,0.029471667,0.309085029,1.06 (1.01-1.12),0.05729363,0.036889435,0.19535443,1.06 (0.99-1.14),0.086478406,0.047041926,0.139869706,1.09 (0.99-1.20),TRUE,6.25E-95,0.680229712,100.4295096,0.016202554,1.874107022,4,0.758899819,0.003200161,0.009613272,0.761123477,NA,0.761
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_FHL2.csv.csv.csv,FHL2,nsxcpJ,0H6Sva,6,0.045492559,0.02786078,0.177837116,1.05 (0.99-1.11),0.041931082,0.020139085,0.037335633,1.04 (1.00-1.08),0.039023644,0.017951044,0.029713196,0.309085029,1.04 (1.00-1.08),0.042069641,0.020965449,0.101081776,1.04 (1.00-1.09),-0.003347616,0.033034305,0.9232208,1.00 (0.93-1.06),TRUE,5.85E-270,0.725028006,230.462776,0.043325365,4.194516755,5,0.521763822,-0.001254251,0.004094943,0.774662502,NA,0.603
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_SRGN.csv.csv.csv,SRGN,5AstwV,cmuU21,3,0.236674774,0.171811275,0.399748147,1.27 (0.90-1.77),0.133968198,0.081365116,0.099659509,1.14 (0.97-1.34),0.147006047,0.067681078,0.029852603,0.309085029,1.16 (1.01-1.32),0.109708869,0.095779701,0.37060605,1.12 (0.92-1.35),0.109344591,0.097619192,0.379117181,1.12 (0.92-1.35),TRUE,6.03E-21,0.823570467,33.41313512,0.003813555,0.378119796,2,0.827736926,-0.009526409,0.016777313,0.671238235,NA,NA
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_NCF2.csv.csv.csv,NCF2,U8UYmj,CIxAKM,5,-0.037780854,0.126737799,0.785078568,0.96 (0.75-1.23),-0.075009444,0.038272357,0.050009153,0.93 (0.86-1.00),-0.067525004,0.031108358,0.029958499,0.309085029,0.93 (0.88-0.99),-0.076193433,0.045502055,0.169343269,0.93 (0.85-1.01),-0.079869053,0.049430605,0.181445676,0.92 (0.84-1.02),TRUE,6.48E-74,0.68282653,80.76854001,0.013369579,2.918404673,4,0.571571729,-0.003517068,0.014527539,0.824311443,NA,0.667
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_NEDD4.csv.csv.csv,NEDD4,KH0d8y,BufHoP,6,-0.12131649,0.050714356,0.07499224,0.89 (0.80-0.98),-0.04534116,0.021917931,0.038576237,0.96 (0.92-1.00),-0.040252977,0.018557087,0.030071823,0.309085029,0.96 (0.93-1.00),-0.040797375,0.026371314,0.182526743,0.96 (0.91-1.01),-0.024179215,0.03782921,0.550842408,0.98 (0.91-1.05),TRUE,3.32E-193,0.685621103,178.4807104,0.037690451,5.867164771,5,0.319359737,0.01914197,0.011144945,0.161011604,NA,0.431
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_EGF.csv.csv.csv,EGF,f2noEF,vsOWBs,3,-0.142230654,0.32585888,0.737996971,0.87 (0.46-1.64),-0.0498986,0.026454713,0.059269431,0.95 (0.90-1.00),-0.057680949,0.026605008,0.03015499,0.309085029,0.94 (0.90-0.99),-0.047596671,0.029777251,0.251055329,0.95 (0.90-1.01),-0.050775869,0.040682021,0.33829484,0.95 (0.88-1.03),TRUE,5.05E-106,0.663025352,185.3020701,0.01747678,0.477618071,2,0.787565265,0.013606807,0.052266249,0.837863684,NA,NA
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_MICA.csv.csv.csv,MICA,Zff3Nb,4QVqlv,7,0.019719648,0.013735026,0.210563934,1.02 (0.99-1.05),0.012015761,0.005698387,0.034976972,1.01 (1.00-1.02),0.010728052,0.004950226,0.030220787,0.309085029,1.01 (1.00-1.02),0.011113567,0.005948804,0.11095503,1.01 (1.00-1.02),0.009431177,0.01092882,0.421306989,1.01 (0.99-1.03),TRUE,0,0.546004599,353.9485981,0.379409469,5.352886084,6,0.49941261,-0.008243262,0.01174567,0.514109928,NA,0.555
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_DRAM1.csv.csv.csv,DRAM1,ihCnsY,bg4s1n,9,-0.049655556,0.032962259,0.175679836,0.95 (0.89-1.02),-0.047773085,0.01711069,0.0052383,0.95 (0.92-0.99),-0.02800892,0.012927779,0.030267763,0.309085029,0.97 (0.95-1.00),-0.052887568,0.019257052,0.025198718,0.95 (0.91-0.98),-0.062130687,0.025475962,0.040640733,0.94 (0.89-0.99),TRUE,0,0.700036207,271.5911327,0.080311285,13.14442571,8,0.106976048,0.004598088,0.005996746,0.468287932,NA,0.127
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_CD207.csv.csv.csv,CD207,BTlu8z,MhNOJh,6,-0.018959896,0.083935773,0.832362772,0.98 (0.83-1.16),-0.09045281,0.04182513,0.030568674,0.91 (0.84-0.99),-0.074480289,0.034445865,0.030599542,0.309085029,0.93 (0.87-0.99),-0.094118476,0.052082345,0.130557309,0.91 (0.82-1.01),-0.09129526,0.057651705,0.174142734,0.91 (0.82-1.02),TRUE,1.59E-70,0.720342485,61.85918495,0.012001665,2.62135054,5,0.758118702,-0.004964747,0.006844552,0.508395118,NA,0.788
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_NDUFA11.csv.csv.csv,NDUFA11,Zff3Nb,4QVqlv,3,-0.065806141,0.149099372,0.735392998,0.94 (0.70-1.25),0.060736968,0.033936738,0.073500313,1.06 (0.99-1.14),0.066170682,0.030612825,0.030654065,0.309085029,1.07 (1.01-1.13),0.058174585,0.035322935,0.241325226,1.06 (0.99-1.14),0.061192067,0.039860209,0.264513202,1.06 (0.98-1.15),TRUE,8.32E-69,0.643094108,113.3940315,0.012404805,1.318154563,2,0.517328463,0.015557242,0.01720118,0.531921137,NA,NA
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_SIRPA.csv.csv.csv,SIRPA,7kRofU,jeaSgN,7,-0.080377986,0.072196221,0.31620704,0.92 (0.80-1.06),-0.050318929,0.025991344,0.052869176,0.95 (0.90-1.00),-0.047288817,0.021879011,0.030666139,0.309085029,0.95 (0.91-1.00),-0.045346657,0.027108884,0.145402968,0.96 (0.91-1.01),-0.061582871,0.036281569,0.140551016,0.94 (0.88-1.01),TRUE,4.55E-136,0.669198352,110.5216745,0.026327414,4.125585869,6,0.659685714,0.005099274,0.010602748,0.650867366,NA,0.767
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_PTCH1.csv.csv.csv,PTCH1,DHz5DG,SPjz9A,5,0.01056291,0.027046441,0.722213042,1.01 (0.96-1.07),0.031224287,0.015944906,0.050199407,1.03 (1.00-1.06),0.032991474,0.015265395,0.030680386,0.309085029,1.03 (1.00-1.06),0.025993441,0.016832238,0.197405983,1.03 (0.99-1.06),0.074984303,0.039465499,0.130239404,1.08 (1.00-1.16),TRUE,5.67E-254,0.675925837,290.3342152,0.054155504,2.170742532,4,0.704389111,0.007787519,0.00775212,0.389118368,NA,0.53
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_CLCN6.csv.csv.csv,CLCN6,bYIJu8,Nxkb7G,3,-0.039459254,0.029464578,0.408322509,0.96 (0.91-1.02),-0.03205259,0.014894741,0.031402075,0.97 (0.94-1.00),-0.031329455,0.014499711,0.0307189,0.309085029,0.97 (0.94-1.00),-0.032042276,0.015084739,0.167608467,0.97 (0.94-1.00),-0.050571808,0.037479908,0.30969202,0.95 (0.88-1.02),TRUE,0,0.698604063,710.1407707,0.064014009,0.80133686,2,0.669872134,0.003524355,0.011119527,0.804598776,NA,NA
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_PLA2G6.csv.csv.csv,G6,0dekSg,EhjLmf,3,0.153501063,0.361953168,0.74465154,1.17 (0.57-2.37),-0.076476526,0.034563284,0.026921636,0.93 (0.87-0.99),-0.070940033,0.032938963,0.031265164,0.309085029,0.93 (0.87-0.99),-0.082947109,0.039856077,0.172892575,0.92 (0.85-1.00),-0.089105221,0.050635567,0.220521376,0.91 (0.83-1.01),TRUE,1.18E-66,0.662873482,119.09724,0.011576128,0.694058653,2,0.7067846,-0.029379651,0.047183573,0.645453806,NA,NA
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_MUC1.csv.csv.csv,MUC1,BTlu8z,MhNOJh,4,-0.15283863,0.109182024,0.296511197,0.86 (0.69-1.06),-0.108893872,0.051856803,0.035738026,0.90 (0.81-0.99),-0.095855084,0.044522744,0.031322888,0.309085029,0.91 (0.83-0.99),-0.131289048,0.07072217,0.160401011,0.88 (0.76-1.01),-0.134489052,0.072719333,0.16151671,0.87 (0.76-1.01),TRUE,8.05E-38,0.686321045,50.49494184,0.006719843,1.207335223,3,0.751245565,0.005866711,0.010263709,0.625270435,NA,0.779
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_ELP5.csv.csv.csv,ELP5,6eufc3,7kRofU,5,0.037498035,0.049865807,0.506683856,1.04 (0.94-1.14),0.035344542,0.018540763,0.056609297,1.04 (1.00-1.07),0.036965113,0.017170439,0.031331688,0.309085029,1.04 (1.00-1.07),0.03565726,0.018943977,0.132935481,1.04 (1.00-1.08),0.043298797,0.029535249,0.216527213,1.04 (0.99-1.11),TRUE,7.86E-220,0.682759965,228.1742298,0.04379052,0.68963543,4,0.952600907,-0.000114249,0.010036572,0.991632375,NA,0.96
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_DARC.csv.csv.csv,DARC,wFO58K,71OOSZ,7,-0.023918914,0.057378998,0.694074249,0.98 (0.87-1.09),-0.036717827,0.01756107,0.036540172,0.96 (0.93-1.00),-0.032888532,0.01527751,0.031338983,0.309085029,0.97 (0.94-1.00),-0.035430247,0.017861968,0.094556496,0.97 (0.93-1.00),-0.026147856,0.026184321,0.356539625,0.97 (0.93-1.03),TRUE,4.72E-266,0.67644982,207.1513142,0.055208553,6.528864062,6,0.366619537,-0.001943047,0.011843704,0.876111631,NA,0.518
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_DNMT3A.csv.csv.csv,A,U8UYmj,CIxAKM,5,-0.088085796,0.107939753,0.474234076,0.92 (0.74-1.13),-0.078265838,0.039791365,0.049194153,0.92 (0.86-1.00),-0.07603678,0.03542132,0.03182205,0.310112476,0.93 (0.86-0.99),-0.076636711,0.045517976,0.167534359,0.93 (0.85-1.01),-0.07213687,0.052671287,0.242674986,0.93 (0.84-1.03),TRUE,2.34E-53,0.606940126,55.57813563,0.008861916,1.245565403,4,0.870541098,0.001039313,0.008794976,0.913400158,NA,0.924
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_MGST2.csv.csv.csv,MGST2,U8UYmj,CIxAKM,3,0.102754073,0.108009103,0.515869767,1.11 (0.90-1.37),-0.055880618,0.024067934,0.020244405,0.95 (0.90-0.99),-0.04638757,0.02161581,0.031872827,0.310112476,0.95 (0.92-1.00),-0.067801513,0.025315165,0.115706349,0.93 (0.89-0.98),-0.037691773,0.055851347,0.569325904,0.96 (0.86-1.07),TRUE,1.07E-64,0.690128792,105.6866383,0.028707778,4.875903782,2,0.087339549,-0.042651316,0.029878911,0.389030467,NA,NA
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_TSPYL1.csv.csv.csv,TSPYL1,U8UYmj,CIxAKM,3,-0.022022349,0.066783445,0.797218172,0.98 (0.86-1.12),0.040369284,0.026298764,0.124777467,1.04 (0.99-1.10),0.052082391,0.024302014,0.032102606,0.310112476,1.05 (1.00-1.10),0.039570678,0.026118533,0.268986669,1.04 (0.99-1.10),0.041687647,0.04266467,0.431565398,1.04 (0.96-1.13),TRUE,3.42E-106,0.618664528,194.2427081,0.018974624,1.420988101,2,0.49140136,0.012554917,0.01053882,0.444563243,NA,NA
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_MED19.csv.csv.csv,MED19,ajFPU2,NEldMy,4,-0.036396513,0.022620569,0.2488914,0.96 (0.92-1.01),-0.020573842,0.009087093,0.023569622,0.98 (0.96-1.00),-0.018209624,0.008498301,0.032134218,0.310112476,0.98 (0.97-1.00),-0.020774908,0.009808475,0.124411606,0.98 (0.96-1.00),-0.013132511,0.013071285,0.389069926,0.99 (0.96-1.01),TRUE,0,0.618797161,1354.584841,0.157268604,3.452048392,3,0.327034743,0.007430592,0.008394319,0.469436806,NA,0.546
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_MAP3K2.csv.csv.csv,K2,ihCnsY,bg4s1n,7,0.035468807,0.030289814,0.294370199,1.04 (0.98-1.10),0.019897879,0.009127307,0.029254627,1.02 (1.00-1.04),0.016191679,0.007565352,0.032335262,0.310383931,1.02 (1.00-1.03),0.021337088,0.00866726,0.048999455,1.02 (1.00-1.04),0.014575572,0.015420308,0.381038308,1.01 (0.98-1.05),TRUE,0,0.617887997,870.7795927,0.197274383,7.470336723,6,0.279529485,-0.008676587,0.013036674,0.535164855,NA,0.354
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_NDUFS5.csv.csv.csv,NDUFS5,riXEkb,8ceonw,5,-0.032180215,0.021913427,0.238278614,0.97 (0.93-1.01),-0.019889673,0.009464,0.035587119,0.98 (0.96-1.00),-0.018811527,0.008811552,0.032771538,0.312898464,0.98 (0.96-1.00),-0.019865535,0.00974028,0.111003674,0.98 (0.96-1.00),-0.023715976,0.015435701,0.1992387,0.98 (0.95-1.01),TRUE,0,0.649780579,1089.44042,0.158314942,2.628140338,4,0.621846366,0.006348913,0.009528469,0.552873308,NA,0.778
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_PKD2L1.csv.csv.csv,L1,U8UYmj,CIxAKM,3,-0.033900828,0.03596711,0.518821976,0.97 (0.90-1.04),-0.036424328,0.018768568,0.052293585,0.96 (0.93-1.00),-0.03779888,0.017749866,0.033210395,0.315410899,0.96 (0.93-1.00),-0.03892516,0.021955224,0.218242891,0.96 (0.92-1.00),-0.039562163,0.026912608,0.279345645,0.96 (0.91-1.01),TRUE,7.00E-196,0.58537055,299.539067,0.03387145,2.268778798,2,0.321618442,-0.001310519,0.00821171,0.899250535,NA,NA
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_PDE6H.csv.csv.csv,H,U8UYmj,CIxAKM,3,0.074730073,0.170103634,0.736479052,1.08 (0.77-1.50),0.073786109,0.04185579,0.077923256,1.08 (0.99-1.17),0.080832166,0.037996965,0.033392493,0.315471187,1.08 (1.01-1.17),0.054742922,0.045876309,0.355119763,1.06 (0.97-1.16),0.125858928,0.07214538,0.223187475,1.13 (0.98-1.31),TRUE,4.98E-41,0.610306534,73.33615114,0.007683727,2.227194555,2,0.328375576,0.000682465,0.017937997,0.975790967,NA,NA
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_CALCRL.csv.csv.csv,CALCRL,PJUd8u,6Jj4t2,4,-0.008790369,0.096441645,0.935682764,0.99 (0.82-1.20),0.050212322,0.023964494,0.036146119,1.05 (1.00-1.10),0.04622595,0.021858533,0.034448855,0.323542708,1.05 (1.00-1.09),0.048347391,0.026512918,0.165733875,1.05 (1.00-1.11),0.071260046,0.034924407,0.133994022,1.07 (1.00-1.15),TRUE,2.76E-157,0.644596434,204.3823439,0.025602827,2.047441014,3,0.562618757,0.008932981,0.015251685,0.617362244,NA,0.725
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_CDC25B.csv.csv.csv,B,ajFPU2,NEldMy,5,-0.011542084,0.06956505,0.878772943,0.99 (0.86-1.13),0.031327011,0.016897015,0.063739619,1.03 (1.00-1.07),0.032484594,0.015374244,0.034607354,0.323542708,1.03 (1.00-1.06),0.030160292,0.018527036,0.178874853,1.03 (0.99-1.07),0.017393326,0.025715327,0.535892277,1.02 (0.97-1.07),TRUE,0,0.674550921,354.6359484,0.055687403,0.82421357,4,0.935172736,0.010296227,0.015866434,0.562631948,NA,0.918
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_SMYD2.csv.csv.csv,SMYD2,U8UYmj,CIxAKM,5,0.019192901,0.060972445,0.773551973,1.02 (0.90-1.15),0.037402855,0.018753489,0.046103141,1.04 (1.00-1.08),0.034725797,0.016505891,0.035392182,0.327060686,1.04 (1.00-1.07),0.038171539,0.020500682,0.13609063,1.04 (1.00-1.08),0.042880536,0.033246722,0.266650174,1.04 (0.98-1.11),TRUE,1.84E-148,0.685282369,142.4046897,0.049930445,7.660355902,4,0.104842648,0.003058585,0.010856691,0.796471377,NA,0.32
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_NUP50.csv.csv.csv,NUP50,KH0d8y,BufHoP,3,-0.013850279,0.126571602,0.93061304,0.99 (0.77-1.26),-0.071605144,0.05155678,0.164875357,0.93 (0.84-1.03),-0.092752803,0.044107351,0.035475595,0.327060686,0.91 (0.84-0.99),-0.070006209,0.059703371,0.361727141,0.93 (0.83-1.05),-0.070829351,0.061312095,0.3673717,0.93 (0.83-1.05),TRUE,6.57E-37,0.624608225,62.81467009,0.006222248,0.661537878,2,0.718371138,-0.007162642,0.010769739,0.626369677,NA,NA
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_LRPAP1.csv.csv.csv,LRPAP1,KZk9AF,3uJqZH,6,-0.061233543,0.048977881,0.279364504,0.94 (0.85-1.04),-0.030411603,0.015413735,0.048493322,0.97 (0.94-1.00),-0.030039449,0.014290559,0.035549023,0.327060686,0.97 (0.94-1.00),-0.030447164,0.016169546,0.118420428,0.97 (0.94-1.00),-0.030447164,0.023401428,0.249958076,0.97 (0.93-1.02),TRUE,3.46E-244,0.632889664,236.971567,0.059830921,6.604394763,5,0.251762886,0.007254066,0.010648226,0.533113108,NA,0.442
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_KL.csv.csv.csv,KL,gtaflk,hf8aFM,3,-0.769421793,0.41960664,0.317844272,0.46 (0.20-1.05),0.079177119,0.053489963,0.138813516,1.08 (0.97-1.20),0.087920619,0.041863859,0.035715154,0.327060686,1.09 (1.01-1.19),0.07558164,0.059867003,0.334042412,1.08 (0.96-1.21),0.055153449,0.072696903,0.527264337,1.06 (0.92-1.22),TRUE,2.78E-39,0.634141787,70.18926905,0.00685414,5.181766997,2,0.074953789,0.094781256,0.046157067,0.288504401,NA,NA
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_PLTP.csv.csv.csv,PLTP,Zff3Nb,4QVqlv,9,-0.004231155,0.043179328,0.924686865,1.00 (0.91-1.08),0.017328417,0.010127532,0.087077279,1.02 (1.00-1.04),0.018057313,0.008614142,0.036060866,0.327060686,1.02 (1.00-1.04),0.01623576,0.010288622,0.153210873,1.02 (1.00-1.04),0.02891594,0.014525043,0.08167624,1.03 (1.00-1.06),TRUE,0,0.673785997,631.3022937,0.180380569,4.727504216,8,0.786264144,0.007613305,0.014452734,0.614626111,NA,0.838
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_APP.csv.csv.csv,APP,U8UYmj,CIxAKM,5,0.035890286,0.133262572,0.805144659,1.04 (0.80-1.35),0.102379091,0.042869467,0.016933027,1.11 (1.02-1.20),0.07476123,0.035667509,0.036076889,0.327060686,1.08 (1.00-1.16),0.107046545,0.04797712,0.089491599,1.11 (1.01-1.22),0.107046545,0.058388118,0.140677621,1.11 (0.99-1.25),TRUE,3.85E-41,0.512796339,44.18447946,0.007111101,6.730448527,4,0.15083712,0.003907707,0.012311389,0.771744067,NA,0.263
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_PICK1.csv.csv.csv,PICK1,KH0d8y,BufHoP,7,-0.028138272,0.02035916,0.225498804,0.97 (0.93-1.01),-0.01706684,0.007965019,0.032135248,0.98 (0.97-1.00),-0.015448669,0.00738799,0.036523415,0.329444874,0.98 (0.97-1.00),-0.016976233,0.00812241,0.081592768,0.98 (0.97-1.00),-0.014042129,0.01393259,0.352422753,0.99 (0.96-1.01),TRUE,0,0.60775027,1022.106928,0.212860787,2.525849163,6,0.865563589,0.005943215,0.008885301,0.533207786,NA,0.916
